,"Life expectancy at birth, total (years)","Lower secondary completion rate, total (% of relevant age group)","School enrollment, secondary (% net)",Expense (% of GDP),Compensation of employees (% of expense),Tax revenue (% of GDP),"Labor force participation rate for ages 15-24, total (%) (modeled ILO estimate)",Labor force with advanced education (% of total working-age population with advanced education),"Labor force participation rate, total (% of total population ages 15+) (national estimate)",Labor force with basic education (% of total working-age population with basic education),Labor force with intermediate education (% of total working-age population with intermediate education),Net lending (+) / net borrowing (-) (% of GDP),Poverty headcount ratio at national poverty lines (% of population),Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population)
17,75.756,88.4562072753906,87.09754,17.98960526222497,2.905359326819912,10.2250136511182,39.8110008239746,82.6486968994141,59.9623985290527,49.7816009521484,66.2397003173828,-3.7959271705221407,30.3,10.4
18,75.913,88.9163208007813,87.6325,18.6170192218098,3.022076614068531,10.3592148287213,38.4980010986328,82.2104034423828,59.4435005187988,49.8270988464355,65.1464004516602,-4.19709483826158,30.3,11.5
19,76.068,90.1158599853516,88.44048,18.4615079098074,3.1473130754590546,9.9827317543286,38.5530014038086,81.15123494466147,59.2317339579264,49.382999420166,65.16190083821617,-4.4475137360357,30.3,11.3
20,76.221,89.2053070068359,89.88468,20.7221905250131,3.1147755247106166,8.72792749178867,38.5390014648438,80.09206644694014,59.019967397053996,48.9388999938965,65.17740122477213,-7.75013288963558,30.3,11.1
21,76.372,89.8170394897461,90.79605,18.3690659253095,2.9645978053276036,8.39608081980497,38.4469985961914,79.0328979492188,58.8082008361816,48.494800567627,65.1929016113281,-6.85442249531375,25.7,9.8
22,76.52,89.8170394897461,90.79605,16.5645666297455,2.6614659625515316,7.46475927233597,38.9379997253418,79.5768966674805,59.5951995849609,48.4580001831055,66.0856018066406,-6.43480560565178,32.0,12.2
23,76.52,89.8170394897461,90.79605,16.4622457839482,2.4772166529006316,8.04014399226874,38.5559997558594,80.4072036743164,60.2890014648438,48.7499008178711,66.4030990600586,-5.32087708050495,35.5,12.2
24,76.52,89.8170394897461,90.79605,16.4622457839482,2.4772166529006316,8.04014399226874,38.2130012512207,80.4072036743164,60.2890014648438,48.7499008178711,66.4030990600586,-5.32087708050495,35.5,12.2
25,78.0780487804878,92.34669509073665,89.08954,24.5677999035703,2.9812574882163903,22.4752112825954,71.8440017700195,86.7200012207031,63.5200004577637,66.3600006103516,82.5400009155273,0.55342252810248,16.903742219535694,1.3
26,78.4804878048781,92.5236758550852,89.30788631578947,24.5677999035703,2.9812574882163903,22.4752112825954,70.2669982910156,86.7200012207031,63.1231994628906,66.3600006103516,82.5400009155273,0.55342252810248,16.903742219535694,1.3
